"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"...1",3297.2032472172,66105.841272,1899.44753597911,27465.9459566536,584.24096,0.639145425724067,2784.92970387758,2199371.8946529,4056.88579092515,12537.3725883,1316.62044893827,1432.99620683128,490.16235,1809.44368641975,12227.9927892668,0,3460.09266,21047.55968,115.2457158
"...2",872.556112758748,17395.447519632,502.660720045668,7268.45670111667,153.508531576,0.169140391520605,727.733103777217,587908.932910429,1060.1318171879,3308.9781263364,347.494519728132,377.086348681317,129.3681338,476.146768291357,3209.15129471521,0,906.760739445,5527.029825856,30.7187739816
"...3",1391.44642972119,15414.413741688,801.582218084821,11590.8512684366,106.85415184,0.269724537438499,1.92409515631213,1673124.40688253,5.64732349128499,4168.8833570307,437.798034512214,334.142883553663,162.98707315,421.922073572839,1762.71579700001,0,331.93664364,3445.35974272,76.6073149782
"...4",1460.78155271215,16173.5790528,841.524684062051,12168.4179509196,112.0787304,0.283164784635602,1.18079930864198,1757028.2155764,4.70831486903822,4375.81441206,459.529035697119,350.599538370371,171.07727,442.701884444444,1848.1211356465,0,347.6699655,3613.1519424,80.44462764
"...5",465.106760254479,5149.6001856,267.937953317926,3874.37357766931,35.6854008,0.0901584876640173,0.375961580246914,559430.4634428,1.49910783780817,1393.24107762,146.312130406584,111.629432296296,54.47029,140.954435555556,588.434069668017,0,110.6966685,1150.4125248,25.61323428
"...6",973.105487953708,19553.109106284,559.900996072341,8095.11114452336,255.441621451659,0.189381395390556,819.924600287351,649044.67418033,1193.5875733842,3725.26981797348,391.211666209363,423.858627950494,145.64351466,535.206104959258,3613.37442344083,0,1024.163720092,6207.4263706112,34.21726220676
"...7",1667.99737418958,18599.50442334,959.863154655941,13878.0190303145,254.213367671859,0.32446632525554,4.56423924227358,2002225.87927027,8.80660502355812,5040.44821479465,529.325992720848,403.187052380453,197.061858425,509.104115487654,2135.15277040354,0,407.48963227,4147.972722432,92.0169002961
"...8",1657.82262290127,101569.989664476,148.208234119793,918.799751363276,98402.2511222035,1.20602568885793,676.638371466678,5042.69404423534,14.8320231378172,37474.5237191671,3935.41181737887,2201.76321965568,1465.107659675,2780.16545878148,16191.9832052113,0,6824.953459605,12990.67031136,260.6209629399
"...9",54.7088157252404,605.72873088,31.5165664456225,455.728465429049,4.19754384,0.0106050148249368,0.0442229925925926,65803.76969544,0.1763345998369,163.881878076,17.2101634824691,13.1305639111111,6.407142,16.5799573333333,69.2153583540839,0,13.0208463,135.31883904,3.012791544
"...10",1172.08280968172,71042.411623032,104.93446694457,684.15362988905,68135.2717511003,1.62577505034507,468.195104028053,7176.70242802622,23.6126343662877,26174.2109434848,2748.70202032408,1540.00772732124,1023.3095216,1944.56708674815,11318.5017762684,0,4753.486161825,9061.324060096,182.1309770595
