"","FIPS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"288",10001,0,0,0,0,0,0,0,0,0,73375.3185549842,25059.4646175042,4328366.29329581,11846.7519147212,0,0,0,0,0,0
"289",10003,0,0,0,0,0,0,0,0,0,68695.0525056422,34707.682260936,1418244.02512161,7609.34634370615,0,0,0,0,0,0
"290",10005,0,0,0,0,0,0,0,0,0,68106.8223464353,13742.3819942597,5462495.66107223,4428.48221480092,0,0,0,0,0,0
"291",11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1160",24001,0,0,0,0,0,0,0,0,0,63094.0783810199,47773.0996249366,92655.0022088039,7418.26969992033,0,0,0,0,0,0
"1161",24003,0,0,0,0,0,0,0,0,0,29155.7557172123,25324.363820649,212046.894871802,2399.69784989847,0,0,0,0,0,0
"1162",24005,0,0,0,0,0,0,0,0,0,130996.298932948,58551.5538684532,903994.957701789,3619.21642935507,0,0,0,0,0,0
"1163",24009,0,0,0,0,0,0,0,0,0,8132.92133164342,13980.7912770901,88527.6748170941,573.22993135748,0,0,0,0,0,0
"1164",24011,0,0,0,0,0,0,0,0,0,67390.7160656617,13418.6163015271,3001729.88070332,1736.54949793589,0,0,0,0,0,0
"1165",24013,0,0,0,0,0,0,0,0,0,277695.78559429,152726.163910932,1735924.55546921,11818.6524082822,0,0,0,0,0,0
"1166",24015,0,0,0,0,0,0,0,0,0,131763.555662349,46445.6602847329,1136707.29217204,8351.17331369819,0,0,0,0,0,0
"1167",24017,0,0,0,0,0,0,0,0,0,29564.9593062258,24815.168685715,499316.085983543,2034.40426619027,0,0,0,0,0,0
"1168",24019,0,0,0,0,0,0,0,0,0,3913.00931994165,3637.9490565228,2960326.92533505,859.84489703622,0,0,0,0,0,0
"1169",24021,0,0,0,0,0,0,0,0,0,530762.63017483,183993.099855464,2526833.20157657,24991.7010269286,0,0,0,0,0,0
"1170",24023,0,0,0,0,0,0,0,0,0,377081.107275945,97588.866438568,168508.08229223,9036.80127081203,0,0,0,0,0,0
"1171",24025,0,0,0,0,0,0,0,0,0,79845.8503062603,50472.1281725348,946673.66130313,7671.16525787216,0,0,0,0,0,0
"1172",24027,0,0,0,0,0,0,0,0,0,82582.3993077881,31340.5190565168,201724.385863518,1315.05690134951,0,0,0,0,0,0
"1173",24029,0,0,0,0,0,0,0,0,0,120996.386226431,10036.736474711,2942563.75290336,2759.37153231885,0,0,0,0,0,0
"1174",24031,0,0,0,0,0,0,0,0,0,41841.0669766309,59670.0171706204,1002286.43385504,2838.05015034831,0,0,0,0,0,0
"1175",24033,0,0,0,0,0,0,0,0,0,13299.1166429389,14778.432211004,163196.068462992,663.148351962575,0,0,0,0,0,0
"1176",24035,0,0,0,0,0,0,0,0,0,56828.1484242506,13339.1465405836,3751095.02290826,1146.45986271496,0,0,0,0,0,0
"1177",24037,0,0,0,0,0,0,0,0,0,59078.7681638248,27016.7753962968,824312.347724184,3844.01248086781,0,0,0,0,0,0
"1178",24039,0,0,0,0,0,0,0,0,0,1897.40658741636,3334.22962514045,1296251.50128613,1641.01117604298,0,0,0,0,0,0
"1179",24041,0,0,0,0,0,0,0,0,0,14501.1521856661,4880.03198682428,2396375.33141485,511.411017191477,0,0,0,0,0,0
"1180",24043,0,0,0,0,0,0,0,0,0,303296.585131948,96596.9660890145,1249124.49664235,14431.9065071177,0,0,0,0,0,0
"1181",24045,0,0,0,0,0,0,0,0,0,32506.1101022603,13433.332923924,1275756.64195989,786.78618029458,0,0,0,0,0,0
"1182",24047,0,0,0,0,0,0,0,0,0,3575.69141563928,5478.08386614537,1955665.5816337,348.433879844743,0,0,0,0,0,0
"1183",24510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1796",36003,0,0,0,0,0,0,0,0,0,408615.358854299,137061.791031632,43095.5441257083,29425.8031430173,0,0,0,0,0,0
"1798",36007,0,0,0,0,0,0,0,0,0,90587.4445178648,45194.7473809932,22709.4393349795,4490.30112896692,0,0,0,0,0,0
"1802",36015,0,0,0,0,0,0,0,0,0,169077.807935518,46068.9147513713,64518.9847929664,8098.27775574636,0,0,0,0,0,0
"1803",36017,0,0,0,0,0,0,0,0,0,382247.302587241,111560.82774222,42282.2846588622,15499.6877518032,0,0,0,0,0,0
"1806",36023,0,0,0,0,0,0,0,0,0,338999.598273376,65630.2492413798,89209.8785618807,13746.2785500039,0,0,0,0,0,0
"1807",36025,0,0,0,0,0,0,0,0,0,214729.583334837,120078.808785567,37233.3488550893,13403.464571447,0,0,0,0,0,0
"1816",36043,0,0,0,0,0,0,0,0,0,688561.764188163,73056.2569028742,98811.6258565649,19135.7638850218,0,0,0,0,0,0
"1820",36051,0,0,0,0,0,0,0,0,0,816182.13351175,75416.8031353429,967449.61769767,18517.5747433617,0,0,0,0,0,0
"1821",36053,0,0,0,0,0,0,0,0,0,814366.292585502,104835.33130682,299585.807527652,23356.3097521734,0,0,0,0,0,0
"1823",36057,0,0,0,0,0,0,0,0,0,863956.652529077,75664.0423916114,197850.291652914,14729.7612753721,0,0,0,0,0,0
"1827",36065,0,0,0,0,0,0,0,0,0,785312.837765544,83087.1067286264,417688.62064874,21580.4209452228,0,0,0,0,0,0
"1828",36067,0,0,0,0,0,0,0,0,0,577130.511854923,28220.5951083662,472119.343990344,18298.3985931368,0,0,0,0,0,0
"1829",36069,0,0,0,0,0,0,0,0,0,602373.258252193,67764.1594889357,1340724.90155434,12133.3668804,0,0,0,0,0,0
"1833",36077,0,0,0,0,0,0,0,0,0,453167.399608144,135213.383258577,89739.6384213772,16044.8181767216,0,0,0,0,0,0
"1842",36095,0,0,0,0,0,0,0,0,0,490890.855470326,127563.682936649,31828.8372726068,11284.7617859394,0,0,0,0,0,0
"1843",36097,0,0,0,0,0,0,0,0,0,278411.891875064,45494.9664778908,120894.563491767,16308.9535372491,0,0,0,0,0,0
