"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"...1",526.372605867876,14813.1667254,1381.9169029877,5012.53513708928,94.939156,0.0852193900965423,696.232425969396,852256.609177998,2453.4499783214,1803.40531812,531.279507787654,642.144526646091,106.020300888889,197.58293127572,2611.4569706865,0,524.979576,6718.30588,17.5667674
"...2",139.296731321128,3898.0165657524,365.703886178153,1326.49334795379,24.9451363811,0.0225520522027473,181.933275944304,227814.711502791,641.127337061252,475.97123787696,140.22015042296,168.977373229835,27.9818481997037,51.9930379168723,685.358640866041,0,137.577491502,1764.208181021,4.6824261848
"...3",222.133495639386,3454.1014278966,583.180106490695,2115.33035648968,17.363799674,0.0359632716584666,0.481023789078033,648335.707666982,3.41528611139616,599.66203953348,176.659206891109,149.733839328292,35.2535002665185,46.0719505625514,376.452336433778,0,50.362801104,1099.74652502,11.6771619146
"...4",233.202303544305,3624.21714096,612.239697679927,2220.73627604283,18.21279369,0.0377553046180802,0.295199827160494,680848.433535855,2.84740946841835,629.427491784,185.428048072757,157.108283703704,37.0033798814815,48.3410103703703,394.691827639398,0,52.7499258,1153.3051959,12.26207892
"...5",74.2506418457946,1153.93563792,194.934568935651,707.073177924649,5.79887763,0.0120211316885356,0.0939903950617285,216779.304584085,0.906603311436368,200.407090968,59.0395179479835,50.022622962963,11.7817219851852,15.3915762962963,125.66823349559,0,16.7953566,367.2075693,3.90419484
"...6",155.348649468554,4381.5109167063,407.348260910602,1477.35778387551,41.5092634858945,0.0252508527187408,204.981150071838,251504.811244878,721.836294379966,535.851619137072,157.860787922673,189.936649317438,31.5021528005333,58.442045943827,771.686080325263,0,155.3903575312,1981.3883281192,5.21569658428
"...7",266.282682201637,4167.8247297255,698.335222662728,2532.7384730324,41.3096722466771,0.0432621767007387,1.1410598105684,775862.528217228,5.32589922853277,725.02998951726,213.592347816503,180.673443283694,42.6237501185926,55.5918287026749,455.991402828203,0,61.826013172,1324.018078812,14.0260266783
"...8",264.658363059586,22760.0641977507,107.826860185704,167.680954623798,15990.3658073581,0.160803425181057,169.159592866669,1954.04394214119,8.96984256429895,5390.42410147626,1588.00788409811,986.639178619292,316.897360463037,303.581285729012,3458.02194515549,0,1035.510180078,4146.575568135,39.7261434297
"...9",8.73383280862188,135.733250016,22.9294439937717,83.1704449408015,0.682100874,0.00141400197665824,0.0110557481481482,25498.960756983,0.106640448472792,23.5731568464,6.94460365649383,5.88397911111111,1.38584108444444,1.81045511111111,14.781897010194,0,1.97557668,43.19329014,0.459236232
"...10",187.113816336863,15919.3660907574,76.343626675615,124.858037454752,11071.9816595538,0.216770006712677,117.048776007013,2780.97219086016,14.2800217358026,3764.96039187072,1109.14960920615,690.097802337347,221.338059486815,212.337785334568,2417.22258679349,0,721.21859007,2892.342278111,27.7620082285
"...11",895.673067256,41280.52409451,121.77371424,1110.15447807,1193.09979694864,27.2550542261719,3.80263115332237,204.363425467639,2127.78625766425,8497.311371136,2503.29050126222,1789.49329983024,499.5479936,550.61332302469,5986.80002174958,0,1147.061718,5255.7613966,62.3154896
"...12",227.490947112,10455.1831382604,30.8082641089311,282.500914902138,259.38981250936,6.9445071206196,0.718161007538591,174.146206699278,542.164323162415,2150.28662617037,633.470029657611,453.227777137242,126.409384760352,139.454700657613,1515.86537808347,0,289.4233775488,1327.8186609688,15.76776201
"...13",0.0727690747784,6.774371534022,49.317002466737,45.5102425686958,77.302349383454,0.00222138667219449,145.512351517894,79897.1608029863,0.173425785400431,89.3828097138312,26.3319924103062,0.293666147332304,2.83151209887308,0.0903588145637859,14.0002412300803,0,22.13071704888,113.21571873898,0.005043741157
"...14",192.366468008,8840.90408814,25.98776692,238.8242320425,219.24037798,5.87227897992927,0.419237160493827,44.0099193166666,458.45444511405,1818.168917544,535.628833896626,383.249461512345,106.888237362963,117.922911234568,1281.79911876274,0,244.7080856,1122.6584226,13.33322809
"...15",1.61062920498557,32.580157734,112.750604457997,115.304153470798,170.081083536,0.000260759843864294,320.265640369304,180551.148851962,0.0196658471150811,199.5596166816,58.7898537614485,1.41233608950617,6.39856182518517,0.434564950617284,32.472459646591,0,48.86896212,256.21168716,0.084688968
"...16",71.9134289266792,1117.61281008,188.798546652573,684.816392998297,5.61634437,0.0116427384034893,0.0910318271604939,209955.668064915,0.878065848064637,194.098808232,57.1811107927572,48.4480437037037,11.4108646814815,14.9070903703704,121.712531409427,0,16.2666834,355.6488507,3.78130116
"...17",0,9.38081205,134.851585945733,124.220174028183,211.18957197,0,397.965433944603,218512.971351854,0,242.574549336,71.4619646943209,0.40665424382716,7.6333986785185,0.125124382716049,36.963536016,0,60.2727576,308.4754101,0
"...18",0,3.67825845,52.875911259814,48.7072869965061,82.80837773,0,156.044030347528,85679.9154514095,0,95.114568024,28.020556652181,0.15945095164609,2.99308983506172,0.0490618312757202,14.493568144,0,23.6332184,120.9545909,0
