"","...3"
"...274",14898.0870918018
"...275",109337.855486568
"...276",314167.914858647
"...277",5286.06667125274
"...278",20083.8907410605
"...279",2274.86995925937
"...280",10195.6842759866
"...281",7622.50285241431
"...282",300540.770479487
"...283",728.30700364068
"...284",48529.1430525784
"...285",2052.00389652444
"...286",66450.7914936928
"...287",76131.0676683379
"...288",36152.4378155664
"...289",263010.833940453
"...290",165437.852989153
"...291",2006615.29268952
"...292",1365200.69208287
"...293",412254.070513931
"...294",128279.98549058
"...295",38337.1686169992
"...296",14431.4290209183
"...297",29382.7709611577
"...298",9554.48360836771
"...299",24577.3591906174
"...300",59897.186805237
"...301",11555.848246971
"...302",35718.7867294359
"...303",12594.9471829905
"...304",89688.1522163265
"...305",20971.4509554467
"...306",177165.99842569
"...307",4525.10461372364
"...308",29152.7677622587
"...309",13992.6738774876
"...310",116292.58587103
"...311",1754.018366619
"...312",51193.0965350457
"...313",40731.0729606939
"...314",62880.761703409
"...315",1605.34423669623
"...316",117434.15511831
"...317",67281.1892273687
"...318",80588.6308028153
"...319",321608.940199572
"...320",175768.670813525
"...321",12166.5595373016
"...322",472956.213189811
"...323",133183.538179082
"...324",12691.9329347866
"...325",879.811989214299
"...326",150566.689036627
"...327",563.925927015834
"...328",14253.1808805319
"...329",122993.735795007
"...330",123450.86354245
"...331",2399.85559532822
"...332",172127.973102605
"...333",8747.81171875575
"...334",10818.8576213456
"...335",92906.8525393002
"...336",41978.3659319295
"...337",380094.562125177
"...338",2289.64078015615
"...339",2208.68977003464
"...340",4743.41076998043
"...341",1303.52781775466
"...342",13870.4974217343
"...343",67137.3504724362
"...344",58240.0359357085
"...345",184017.427091099
"...346",94271.8818156312
"...347",44759.8553598223
"...348",48755.6724834331
"...349",121309.305766219
"...350",24819.0836420904
"...351",3617.57547091718
"...352",58602.3053086435
"...353",30515.3634719889
"...354",24952.546302085
"...355",57249.5695054237
"...356",22598.2068471136
"...357",12714.8400462865
"...358",211048.284632431
"...359",305678.779560721
"...360",74887.002270484
"...361",28579.4779279989
"...362",1338.17472383328
"...363",8367.15450937313
"...364",9843.12619053873
"...365",11292.9230722193
"...366",12760.2931494458
"...367",24583.0491018623
"...368",23344.1979896993
"...369",103881.331510198
"...370",7344.15990529651
"...371",28027.1887780655
"...372",225058.754575686
"...373",41031.2983452039
"...374",1275.33932033641
"...375",67551.028300238
"...376",32108.6357299321
"...377",24600.1217070528
"...378",1482.29568610097
"...379",24452.0509031223
"...380",2208.80289945304
"...381",6069.67203491865
"...382",6035.35054192744
"...383",159546.68075613
"...384",9497.65336590626
"...385",26979.4150611782
"...386",13506.9197143749
"...387",8303.12458525662
"...388",19162.8979482636
"...389",21369.3359840518
"...390",53.536739899646
"...391",329.83257503494
"...392",923.606131718081
"...393",701.305797955217
"...394",1134.76680352298
"...395",17684.9834003105
"...396",111.303209900658
"...397",52963.0028102572
"...398",5544.73084737855
"...399",1988.05581033788
"...400",294.321689134062
"...401",306916.787206533
"...402",25656.7837906976
"...403",61600.2773331006
"...404",40558.5367707771
"...405",170196.344682779
"...406",12255.9799329761
"...407",434840.676160056
"...408",44703.2347390611
"...409",2037.03095001304
"...410",16486.4582683148
"...411",14339.8841731057
"...412",20557.1082307844
"...413",154772.485094828
"...414",13470.5709725635
"...415",831.17072882737
"...416",4714.86493441193
"...417",27289.5277772488
"...418",7058.12558042577
"...419",41235.8932617218
"...420",25255.817854636
"...421",2871.46926674638
"...422",7960.37732820882
"...423",10802.3124373674
"...424",10636.7182710498
"...425",12163.3107883263
"...426",163896.184264773
"...427",6418.12320303387
"...428",326067.002706772
"...429",382146.469906394
"...430",507577.439206501
"...431",17467.9618087449
"...432",56.9070456133321
"...433",5997.28410504266
"...434",406815.151670145
"...435",16742.8737114855
"...436",26377.627215121
"...437",12408.7554612961
"...438",5152.38001382718
"...439",27095.9623838691
"...440",995.711617535324
"...441",191591.347156858
"...442",27994.4206860949
"...443",103955.054011798
"...444",2400.35730379002
"...445",64398.548848154
"...446",766488.990932554
"...447",48478.141597346
"...448",91747.3464876414
"...449",12737.5796006561
"...450",71266.4070755189
"...451",498996.76904217
"...452",1428.03102301272
"...453",5520.99681255675
"...454",1356.17302468479
"...455",24904.2328338551
"...456",159180.471613911
"...457",388943.94397135
"...458",16073.5665061814
"...459",8775.66596327297
"...460",12879.2826772229
"...461",14391.2013881657
"...462",20573.9472312463
"...463",732490.085394628
"...464",132304.07957609
"...465",84708.6225057937
"...466",119728.281168359
"...467",149663.658013898
"...468",56265.2446299816
"...469",856.092171594653
"...470",202291.906647127
"...471",1260111.99126107
"...472",303470.233513602
"...473",5040.98898883508
"...474",14033.3967823969
"...475",6682.40024897144
"...476",44419.0184105987
"...477",1015606.51932721
"...478",580.860872044661
"...479",104779.396071249
"...480",59291.8460877164
"...481",719.587491434161
"...482",52948.5780877167
"...483",473149.585892966
"...484",28048.3899058627
"...485",2159.33980757461
"...486",3511.69271835294
"...487",61619.5440011431
"...488",17819.2187377375
"...489",95258.232650526
"...490",72403.7341577195
"...491",17037.6157572744
"...492",106911.333666028
"...493",104867.25531045
"...494",31413.0124138287
"...495",11531.9039672001
"...496",466121.939884688
"...497",810.977386727521
"...498",56736.9546313024
"...499",14018.4923044744
"...500",230001.476823352
"...501",62351.2496439463
"...502",213637.164825988
"...503",12207.1703300937
"...504",39945.4258698614
"...505",54392.944079711
"...506",33837.5835734818
"...507",102008.462577219
"...508",488.906311954131
"...509",23825.9205412552
"...510",148836.775175249
"...511",10381.8462469732
"...512",191562.075636703
"...513",233295.499055402
"...514",45334.4823456682
"...515",615634.147117378
"...516",224729.708057702
"...517",27714.6583254884
"...518",206092.515810907
"...519",30317.3054292536
"...520",6853.59444796818
"...521",50668.5409385168
"...522",13446.5262558832
"...523",237806.994689433
"...524",33121.3369833733
"...525",50232.6450245388
"...526",8186.44717866817
"...527",2780.10461005889
"...528",19348.2363844529
"...529",73273.9830837213
"...530",51561.2045309809
"...531",53927.9998213689
"...532",43655.6785720462
"...533",4066.24721072165
"...534",1170.6892353278
"...535",906.189674862746
"...536",11956.4368126606
"...537",85247.3528390882
"...538",5869.32037375771
"...539",24601.1296539455
"...540",439.081944252861
"...541",46922.7960161949
"...542",27102.3573468141
"...543",30733.9947306142
"...544",23014.4348013098
"...545",42197.0555027171
"...546",23788.6476885885
"...547",16625.4612790395
"...548",19581.9928751999
"...549",16019.5437597535
"...550",33348.6663563245
"...551",4239.4314479166
"...552",40148.2557723914
"...553",46.259586583235
"...554",9807.06964452956
"...555",8172.01818320066
"...556",33048.783325152
"...557",3289.7534201845
"...558",14757.7546073227
"...559",24689.9475239056
"...560",51973.333064133
"...561",24925.9261884059
"...562",19234.8675137067
"...563",7987.47455499289
"...564",6969.93036911421
"...565",18642.2368301061
"...566",5032.86437142735
"...567",7835.04526687408
"...568",12224.0195480768
"...569",22514.5702498088
"...570",21764.1145510764
"...571",1493.26745086306
"...572",6700.14401846144
"...573",24037.9638431614
"...574",47838.0914211617
"...575",100325.596633652
"...576",13244.261597462
"...577",166404.957258682
"...578",62420.712613656
"...579",67185.5622026712
"...580",128185.040062841
"...581",14443.7551508216
"...582",6055.87406788719
"...583",294599.927422299
"...584",56919.1513541045
"...585",91543.614545672
"...586",6956.25388598661
"...587",118448.859043477
"...588",3236.55967946993
"...589",181065.557567741
"...590",258970.491824869
"...591",70654.9550911043
"...592",132138.051547239
"...593",2059.08800099927
"...594",1252.26624560583
"...595",94202.0368815598
"...596",58664.7386008312
"...597",112049.828273826
"...598",32013.4134235142
"...599",173222.269727946
"...600",113877.53661497
"...601",263067.335374452
"...602",77667.4956999085
"...603",37957.4167954978
"...604",20961.733938616
"...605",28659.7221705213
"...606",62566.5182325489
"...607",9481.24362222393
"...608",251416.382538005
"...609",8083.16490528459
"...610",2396.06874285402
"...611",1501.58324404453
"...612",26124.4556777695
"...613",114605.392406047
"...614",77338.4787451277
"...615",67808.863374303
"...616",108012.923149702
"...617",8281.7033430612
"...618",146879.807039476
"...619",29191.3362892197
"...620",71494.9030878197
"...621",48385.0500987307
"...622",63372.9778346954
"...623",45437.7862701077
"...624",40634.6532728748
"...625",132489.234366951
"...626",77101.7987462932
"...627",19416.6084971983
"...628",37623.0538756659
"...629",733838.507928787
"...630",95.4751699787244
"...631",42225.3626197057
"...632",8317.468651539
"...633",138862.906970399
"...634",85792.4439811582
"...635",2306.9721823669
"...636",43256.6214246399
"...637",595.574479150248
"...638",166.031535104602
"...639",2287.05533827371
"...640",287.960065688148
"...641",853.924822884214
"...642",1950.40836144239
"...643",3867.09670567191
"...644",89.2507367297165
"...645",4120.15993981544
"...646",4633.99274179073
"...647",3256.07578540481
"...648",8862.35369704432
"...649",4913.49080312559
"...650",534.356113601956
"...651",114.301767187922
"...652",24403.9932731573
"...653",11720.3885894706
"...654",1212.56912632225
"...655",36705.5841502886
"...656",3121.55947989036
"...657",1137.87136399279
"...658",3320.42253506632
"...659",3071.31214335359
"...660",82502.5980962107
"...661",27270.7498808951
"...662",7125.24657959902
"...663",861.296957096246
"...664",5242.59201891908
"...665",441984.801097343
"...666",10493.6185417483
"...667",232862.381517884
"...668",216.02385975429
"...669",953.057810245119
"...670",25396.6916286327
"...671",722.200021841566
"...672",349.344707440895
"...673",783.107760487691
"...674",8673.25805648897
"...675",269.548111706256
"...676",363.105353970995
"...677",85.7612883809389
"...678",241148.037477582
"...679",50401.4146094837
"...680",43464.6866515744
"...681",45005.8690587691
"...682",18613.0039300903
"...683",200.941923564952
"...684",123726.129524933
"...685",13737.3026322694
"...686",11682.5994516573
"...687",538963.772366842
"...688",75734.2089054314
"...689",34247.5652598422
"...690",78863.6136044665
"...691",576.788911233233
"...692",344417.448512641
"...693",1787.94333408895
"...694",40508.0207520289
"...695",4251.780747958
"...696",445685.600280115
"...697",2281.92551029819
"...698",5203.06597711669
"...699",299784.21395048
"...700",10309.5590551506
"...701",9643.72840487295
"...702",140572.971737018
"...703",2834.94967350424
"...704",217750.235737211
"...705",34932.9053507201
"...706",49582.2868400228
"...707",228933.201914312
"...708",34080.9491497663
"...709",29217.5084393764
"...710",11430.4563666097
"...711",121031.701818634
"...712",31578.9193488026
"...713",11426.9019886047
"...714",137304.451601988
"...715",1766991.4646779
"...716",103030.993119782
"...717",4144.89130347442
"...718",120963.440665116
"...719",4527.72605509662
"...720",35033.767823892
"...721",122462.913772864
"...722",46846.0512098345
"...723",85037.0219621116
"...724",6024.88788911851
"...725",13837.9574831941
"...726",5183.99884965008
"...727",10528.1252841685
"...728",2158.66851756435
"...729",30285.6020252463
"...730",58105.9327576349
"...731",16255.892963901
"...732",2874.04896595055
"...733",2323.95226807384
"...734",17381.2594546998
"...735",39744.0605659471
"...736",22916.7351686161
"...737",2258.61033428788
"...738",10680.494276027
"...739",10232.0814622795
"...740",12473.5166349687
"...741",24195.8863465221
"...742",21093.2845291049
"...743",18766.0628106963
"...744",29923.6849713579
"...745",30724.0129015003
"...746",212709.862691164
"...747",11747.904594831
"...748",6308.54413820985
"...749",21358.8067198274
"...750",104858.543871458
"...751",140679.246050097
"...752",12872.828539851
"...753",24438.0108985463
"...754",14263.1022545966
"...755",23893.4558915491
"...756",18548.4863102861
"...757",17192.1700250239
"...758",25352.8975053414
"...759",28733.0457514596
"...760",12652.3778760874
"...761",10034.5241855827
"...762",248377.600274532
"...763",193086.19670108
"...764",4002.42851045275
"...765",33075.0219031179
"...766",13243.7179569212
"...767",2722.44992050246
"...768",190145.465499222
"...769",47498.0166581373
"...770",65901.6146491616
"...771",32528.489445922
"...772",2060.13811925529
"...773",55503.6318493849
"...774",93291.615449905
"...775",22501.6425878722
"...776",3664.90603258557
"...777",813.834161628235
"...778",120686.607003436
"...779",2090.51712174004
"...780",69447.5767399239
"...781",27732.6194235565
"...782",16394.8584192417
"...783",118296.898602382
"...784",73301.9809391143
"...785",103556.303147706
"...786",26014.5463653254
"...787",103411.312314553
"...788",13119.2918505108
"...789",3100.49698476849
"...790",1524.44494837899
"...791",24651.8742829905
"...792",201196.494773247
"...793",808.997032611587
"...794",14769.1856305065
"...795",5085.78842084
"...796",10411.1742556496
"...797",108903.659606501
"...798",3671.19005219838
"...799",2888.25961396591
"...800",17334.2211746064
"...801",62504.6013162041
"...802",223218.005244914
"...803",33949.6468417402
"...804",130467.764211752
"...805",88797.6215231815
"...806",17012.5427976628
"...807",153468.927596088
"...808",73763.1776461721
"...809",255556.97034565
"...810",376537.512922435
"...811",30670.3746680159
"...812",43920.4097175271
"...813",281871.52699844
"...814",105423.482365615
"...815",15368.2373067106
"...816",50193.9761101997
"...817",276624.893960343
"...818",61131.7305897505
"...819",12014.1116986491
"...820",112753.677798556
"...821",2756.38320751749
"...822",60568.6706531568
"...823",207129.817285936
"...824",1345.28958240924
"...825",3949.04269243974
"...826",653.637786586676
"...827",233988.936807424
"...828",26617.9484716829
"...829",69764.8179006406
"...830",26722.6030498357
"...831",133390.131382434
"...832",329790.890935399
"...833",1642220.88219803
"...834",45173.622273006
"...835",74014.4098000069
"...836",3031.31850929206
"...837",3830.81478807903
"...838",446225.723355815
"...839",122997.950594754
"...840",14072.4885009793
"...841",185023.946196654
"...842",36236.4831515976
"...843",31834.012684621
"...844",10349.8006877104
"...845",34415.4598084244
"...846",129870.269772547
"...847",3870.0624792243
"...848",10368.7590035627
"...849",65681.5157592583
"...850",58966.7285722211
"...851",74489.4730631289
"...852",80407.4085395927
"...853",2933.73720111586
"...854",45502.7813507889
"...855",136101.624441038
"...856",21426.4711609457
"...857",13594.2544250177
"...858",23115.3103664536
"...859",16616.2511520663
"...860",43514.3685010263
"...861",1831278.41073869
"...862",872.026222235599
"...863",84586.2928014708
"...864",3183.43128058115
"...865",45858.2065360346
"...866",285847.041010024
"...867",127102.710881041
"...868",678447.504387185
"...869",21200.3111794699
"...870",1108.66923659551
"...871",7966.29932855376
"...872",4212.67012144358
"...873",139345.428802198
"...874",14350.7195212057
"...875",22351.0766413739
"...876",154213.415918744
"...877",25711.8660521785
"...878",2265.46330649105
"...879",163498.729530477
"...880",55875.5048072768
"...881",124647.701785463
"...882",22166.9639670727
"...883",24814.3143283282
"...884",25178.7436889213
"...885",275067.640605576
"...886",2524.90004710336
"...887",63567.1374539429
"...888",47704.4130609351
"...889",108485.108369181
"...890",1902.90501558029
"...891",3845.7817487253
"...892",6807.30456839738
"...893",23418.0133537548
"...894",136282.175473115
"...895",12842.4609024259
"...896",3734.93146213646
"...897",15000.9636956852
"...898",330.74215208067
"...899",7858.71061831932
"...900",40046.1419073643
"...901",22257.6551320815
"...902",13018.251549245
"...903",80823.157015063
"...904",700.807004994554
"...905",150113.3183902
"...906",86876.6361550015
"...907",10328.4686384717
"...908",47336.8121423958
"...909",34888.705002897
"...910",33077.1181636538
"...911",23052.0937007358
"...912",5241.34978705915
"...913",22773.3083917019
"...914",299228.049987885
"...915",41273.8963546183
"...916",7337.6280328998
"...917",8979.01428175142
"...918",15563.3754093508
"...919",111933.244666517
"...920",13559.7195819501
"...921",7484.99993323631
"...922",32030.3084306532
"...923",33816.6017676019
"...924",16188.5315217503
"...925",85102.8855051318
"...926",51799.820982835
"...927",10232.0306797719
"...928",2196.9007797013
"...929",459.273350998367
"...930",30338.9786028194
"...931",7024.28156922022
"...932",23753.0895928666
"...933",99645.6941940551
"...934",8238.63089043908
"...935",7569.59790439202
"...936",335793.651811649
"...937",6162.97919865251
"...938",0.13648665905543
"...939",44.2069577441194
"...940",10689.2536578543
"...941",1370.16599546131
"...942",100743.967484307
"...943",7008.58324438055
"...944",115446.850992215
"...945",116963.261947595
"...946",13011.3041781664
"...947",313419.724615541
"...948",322107.493018509
"...949",17519.8956650807
"...950",38241.7219403329
"...951",45657.810743215
"...952",32729.7461441567
"...953",146781.370580851
"...954",13.8595119517695
"...955",15185.124089177
"...956",10536.3458628391
"...957",231544.25088095
"...958",98348.6455459279
"...959",498.191750567416
"...960",137713.266820496
"...961",41787.2168805606
"...962",72758.2857699018
"...963",235038.24430664
"...964",39725.645245793
"...965",155.165699610488
"...966",104646.290607892
"...967",8201.61553644515
"...968",5352.62160730278
"...969",142718.137161169
"...970",57691.7601088972
"...971",36031.3543625256
"...972",444948.320727734
"...973",84257.295709639
"...974",12667.2536298723
"...975",108717.894986703
"...976",26323.9168242222
"...977",70005.0679963799
"...978",22727.3795934468
"...979",5998.89225191143
"...980",37036.9065330845
"...981",6955.34594786917
"...982",347813.419713332
"...983",63524.3722599955
"...984",23886.8631263036
"...985",305553.590771781
"...986",19512.5380160108
"...987",6276.22783186639
"...988",174455.565092075
"...989",6758.59565624743
"...990",436.200359254761
"...991",203311.485815327
"...992",185964.316040302
"...993",48346.1700900814
"...994",2677.34223754809
"...995",440242.982981704
"...996",69218.2333132843
"...997",46778.0490146628
"...998",253341.842007753
"...999",434528.810852844
"...1000",9073.2425012796
"...1001",150240.500401721
"...1002",293019.586338043
"...1003",148533.911379021
"...1004",336633.236129994
"...1005",76213.0901306574
"...1006",471.198185663799
"...1007",27174.6651272162
"...1008",5994.53771837349
"...1009",126782.756553268
"...1010",4922.26577250989
"...1011",12267.1645958379
"...1012",86835.5036159344
"...1013",93440.5628566613
"...1014",30464.5054184038
"...1015",3457.67371387231
"...1016",14164.7146686501
"...1017",556.685211087455
"...1018",43715.4685890076
"...1019",1243.81580728401
"...1020",3.83927768300609
"...1021",296026.423129533
"...1022",1466.83900885411
"...1023",57350.1518617495
"...1024",66701.042115628
"...1025",416645.851879995
"...1026",3950.91349358447
"...1027",497997.179742245
"...1028",608.102045585232
"...1029",51002.104920926
"...1030",46136.3051895596
"...1031",1327.95527660732
"...1032",136245.460362313
"...1033",170613.665778373
"...1034",35020.6409654794
"...1035",59754.1388338629
"...1036",60490.5720053614
"...1037",101131.829791183
"...1038",1159681.53951833
"...1039",89466.3358686685
"...1040",21725.3167786293
"...1041",1406.77370509522
"...1042",45100.0941519419
"...1043",6569.29970108905
"...1044",158615.062932972
"...1045",45795.5914213481
"...1046",28646.4324107758
"...1047",58928.333651636
"...1048",15155.1366132893
"...1049",52440.225897295
"...1050",176711.02216605
"...1051",14788.0831689538
"...1052",39536.9855994538
"...1053",73034.4297938613
"...1054",41752.5582488794
"...1055",92474.7612653354
"...1056",35460.7889233086
"...1057",159480.994220743
"...1058",90745.2126786452
"...1059",198354.625543629
"...1060",54876.4507064199
"...1061",479197.021479647
"...1062",22729.2830398086
"...1063",212206.267610086
"...1064",9625.13908572891
"...1065",168316.479344545
"...1066",14213.6079968334
"...1067",617.951120553186
"...1068",128978.201568323
"...1069",7652.32428522966
"...1070",86559.8658022194
"...1071",1175.95878739612
"...1072",385931.881562278
"...1073",212850.141323493
"...1074",16626.3000531958
"...1075",58617.4606505638
"...1076",22009.2323572601
"...1077",42831.3589690639
"...1078",44301.2338566932
"...1079",98115.7145057384
"...1080",71252.947066084
"...1081",505695.99523422
"...1082",26285.3759577441
"...1083",366.543385024307
"...1084",36718.3399224745
"...1085",11910.6386976576
"...1086",101371.661333862
"...1087",11027.9695644996
"...1088",307360.457084558
"...1089",77195.4733464931
"...1090",84105.2876058119
"...1091",266858.223381141
"...1092",156935.465903085
"...1093",52745.7858425108
"...1094",16676.4534095669
"...1095",2304.02267537379
"...1096",8259.10757518136
"...1097",8804.16907748597
"...1098",479621.220556753
"...1099",5099.25832624881
"...1100",494623.375772258
"...1101",19925.8803932177
"...1102",99328.5724232253
"...1103",773962.528476089
"...1104",199046.095783715
"...1105",25460.2320245097
"...1106",10498.8748908642
"...1107",59138.0215524758
"...1108",163864.919713992
"...1109",1658.3475106261
"...1110",182897.86283681
"...1111",3200.84383479075
"...1112",113990.526803324
"...1113",52188.7645913394
"...1114",29292.0989271007
"...1115",29625.7542020998
"...1116",67758.5854222998
"...1117",27685.1140625991
"...1118",17436.0990581725
"...1119",155360.198109074
"...1120",30625.4092800759
"...1121",52919.4457090984
"...1122",1193.93517254749
"...1123",19310.3547947858
"...1124",2115.14550236059
"...1125",275941.316871308
"...1126",42184.8746735642
"...1127",235519.142784808
"...1128",100776.72160586
"...1129",392.560817018915
"...1130",47522.8163736713
"...1131",26308.3250254818
"...1132",77153.8256582926
"...1133",50958.6518815531
"...1134",31472.1561930843
"...1135",14481.1098668352
"...1136",11331.9312589042
"...1137",3029.1478015272
"...1138",102193.460770566
"...1139",60274.8684942915
"...1140",1244629.46578709
"...1141",197119.474931376
"...1142",1403236.60156993
"...1143",90610.5582981705
"...1144",697310.196922545
"...1145",141973.914128137
"...1146",987033.448404452
"...1147",152970.019867496
"...1148",148408.906817154
"...1149",3187.17269300886
"...1150",170899.295099905
"...1151",769414.16367222
"...1152",8618.8616376304
"...1153",154028.359698367
"...1154",4504.21197126307
"...1155",379583.099412527
"...1156",96936.0490175266
"...1157",74970.0818087825
"...1158",121693.721211431
"...1159",1621.40259307301
"...1160",201024.58371014
"...1161",133178.912050244
"...1162",50343.6210396628
"...1163",130191.914277292
"...1164",221690.758060885
"...1165",113355.574714768
"...1166",1075977.11116503
"...1167",177002.468428523
"...1168",51172.6921061951
"...1169",867474.525975699
"...1170",57470.7890477263
"...1171",948309.87247279
"...1172",164707.860564178
"...1173",365449.976474004
"...1174",1318.09315410326
"...1175",117662.641769772
"...1176",56864.7230334973
"...1177",99310.4941765227
"...1178",25796.1733909695
"...1179",99770.263487226
"...1180",114279.718382459
"...1181",17213.2337429598
"...1182",34438.1587839646
"...1183",14198.7902062945
