"","1","2","3","4","5","6","7","8","9"
"...1",3882.43901337502,22028.6379086559,4505.46676783123,58.6211168695149,0,4.73696343367909,18142.1113047714,140597.242014589,8.87856469638604
"...2",1027.43010956105,5796.73455923944,1192.30519757024,15.5132122669145,0,1.25356736909069,4740.73544855025,37582.7183769626,2.3201168114357
"...3",1638.42065493849,5136.58902687135,1901.34340478321,24.738585297463,0,1.99903686952737,12.5343014720204,106956.298626388,0.0123592651020527
"...4",1720.06238773869,5389.56784734333,1996.08645489482,25.9712974001961,0,2.09864793916799,7.69218427888961,112319.940912423,0.0103042284969475
"...5",547.660697871896,1716.0159477613,635.545610841189,8.26915288667469,0,0.668200760126594,2.44915942605676,35762.2012221877,0.00328082342239266
"...6",1145.82645572408,6515.73827974583,1328.07844559876,17.2775573513374,0,1.40358157764784,5341.30658279164,41490.8871736827,2.61218704130129
"...7",1964.05789822823,6197.96587318741,2276.78388744692,29.6201331196583,0,2.40475024358426,29.7332231544802,127994.46842075,0.0192734073589359
"...8",1952.07718354634,33846.4571610007,351.548153290516,1.96101265506568,0,8.93834072539233,4407.88456208994,322.35970490783,0.0324601390805665
"...9",64.419335000499,201.848711500733,74.7569175074382,0.972670363323468,0,0.078598023888601,0.288085711006572,4206.57759419181,0.000385911320541818
"...10",1380.12117725989,23673.6653174448,248.903296702608,1.46020275280973,0,12.049271816579,3050.00434222785,458.778513353302,0.0516766585695245
"...11",6606.33935121012,61388.2051565817,397.019112739357,12.9831499674927,0,1514.98614465624,99.0872517011985,33.7139468089511,7.70005018063522
"...12",1677.93634853209,15547.8870852447,100.444252340542,3.30382105966435,0,386.013984118314,18.7135164171233,28.7289955930483,1.96198865344842
"...13",0.536732899351871,10.0741576968679,160.788333381369,0.532237914631095,0,0.123476915597807,3791.69538646666,13180.6786039835,0.00062759463991712
"...14",1418.86388450634,13147.2951431006,84.7279745801372,2.79302644967896,0,326.413633901563,10.9242933036124,7.26034061874385,1.65905866728767
"...15",11.8797399253083,48.4499034563995,367.601047747596,1.34847099746759,0,0.0144944694389117,8345.33796179324,29785.6224261321,7.11669271692041e-05
"...16",530.421794253846,1662.0003252318,615.540323675725,8.00886192519028,0,0.64716757562734,2.37206639481481,34636.5021489582,0.00317755181830232
"...17",0,13.9501914593502,439.656927094729,1.45274300131611,0,0,10370.0042238366,36048.2051833136,0
"...18",0,5.46993259655732,172.391451674722,0.569627042071412,0,0,4066.12513496234,14134.6628219523,0
"...19",2.16139915287267,6.92619441457737,7.35421852322401,0.0486474380807688,0,0.0026371228800945,114.309595247517,538.468573515692,1.29481063611817e-05
"...20",4692.26290473762,14702.5302471166,5445.2457618503,70.8486833079698,0,5.72502947873192,20.9839777937886,306404.40484171,0.0281095322372181
"...21",37.0994445278655,491.328376716203,17.1656255019562,0.187998175802957,0,0.133954652927936,59.648666815971,702.836697641569,0.000491665034357964
"...22",202.503982146022,1782.55987989361,40.1496440349798,0.716150127826453,0,39.3226551626362,17.5995508148515,1615.55777402182,0.199809016136858
"...23",2216.91779715316,6946.39273837493,2572.67388558523,33.4733390091425,0,2.70486117216763,9.91414052676955,144764.560726951,0.0132806970861373
"...24",3599.33724786522,11278.0050544229,4176.93473113352,54.346550900869,0,4.39155099922485,16.0963727768326,235036.443960381,0.0215622373374121
"...25",0,1.60576159865708,50.6074925329502,0.167220566902521,0,0,1193.65777946994,4149.3927701672,0
"...26",6757.5460557157,21173.8218983705,7842.71580705405,102.035008988798,0,8.24488123497937,48.2428886490735,441329.886049849,0.0404818448058055
"...27",0,14.4756310183087,456.216781670121,1.50746114938712,0,0,10760.5945939866,37405.9752962155,0
"...28",5.40968253415946,24.6962816913655,250.396560771072,0.888314139816408,0,0.00660035309346672,5757.9515817168,20368.9570990985,3.24073157609173e-05
"...29",17.229528987683,54.0370860054069,21.5966135811457,0.265443524852845,0,0.0210217465137254,37.8676009395112,1256.45440716407,0.000103215444305638
"...30",1981.69269687848,6209.35775043082,2299.98500434636,29.9226018794895,0,2.41786305195349,15.5505182780272,129427.629780748,0.0118715544883306
"...31",1793.25227463211,16616.4049829401,107.084713903805,3.53000812036109,0,412.542737789515,13.806830964809,9.17608973724509,2.09682603197477
"...32",10309.124294973,95525.0896530334,615.613118880569,20.293459537104,0,2371.64308726895,79.3732920623779,52.7518916224392,12.0543219124022
"...33",0,32.5157951873123,1024.77407824489,3.38612513156121,0,0,24170.9179702929,84022.9368913215,0
"...34",0,0.0780400877923906,2.45952647237743,0.00812692726783346,0,0,58.0118231634195,201.660680103307,0
"...35",0,0,0,0,0,0,0,0,0
"...36",13434.0066447301,124480.475006306,802.216608607321,26.4447747903238,0,3090.53107535383,103.432774935117,68.7419457075996,15.7082052786861
"...37",2906.31983282761,26930.1692993094,173.551949278942,5.72107603340566,0,668.607065323613,22.3766991567068,14.8716675107145,3.39832112242417
"...38",853.098856402134,7904.87556546894,50.9431094898387,1.67932082572604,0,196.257795293996,6.56828482709303,4.36531533896596,0.997517145388189
"...39",1.70574003579016,26.7316717894474,676.015686716951,2.25294934509336,0,0.00208117323905531,15898.2183185812,55376.7393293669,1.02184288258754e-05
"...40",119.930167089012,375.787625321693,139.292793889092,1.81121757698459,0,0.146326784307119,3.29687141581836,7841.02682238263,0.00071845524567683
"...41",0,16.0057476269556,504.440232094768,1.66680420936494,0,0,11898.0209684465,41359.8964752636,0
"...42",0,0,0,0,0,0,0,0,0
"...43",194.101541555766,235.931854252516,0.000269930437500162,4.57388572761808,0,0,0.00636673643587474,27475.0681750555,0
"...44",0,2.38747008228557,75.2439680105413,0.248626010832795,0,0,1774.74803193404,6169.37850968115,0
"...45",0.755635295439335,0.918480237152326,0,0.0178060863990303,0,0,0,106.960070319448,0
"...46",0,0,0,0,0,0,0,0,0
"...47",0,34.9958873403393,1102.93714131746,3.64439660607305,0,0,26014.5174776785,90431.656876732,0
"...48",73.4066736478603,89.2570194649108,0.966598230773481,1.73297753854276,0,0,22.798748565411,10469.9573837735,0
"...49",0.488371033416054,28.0511590221841,865.357145563496,2.87087750517197,0,0,20410.8173932788,71021.2053858676,0
"...50",237.525207657317,288.791042379268,2.43974531054536,5.60519869592944,0,0,57.5452531650653,33821.6986922406,0
"...51",4.15998256580136,12.0970742654979,221.89243546769,0.831218871238975,0,0,5233.68415514935,18782.1760439138,0
"...52",391.138265821088,475.431427461087,0,9.21693546769523,0,0,0,55365.5667877804,0
"...53",0,0,0,0,0,0,0,0,0
"...54",71.0019922987375,86.303441777314,0,1.67311878760182,0,0,0,10050.3220732674,0
"...55",135.324314183245,164.487695232973,0,3.1888352023517,0,0,0,19155.1377342101,0
"...56",89.0119326445833,108.194656202831,0,2.0975120839116,0,0,0,12599.6266087586,0
"...57",0,100.473568113762,0,0.00298428386719204,0,0.335401111935533,2.83493194554611,1289.7497539629,0.0013430392924127
"...58",0.0724657113808123,2841.3192409322,0,0.0860983658172121,0,9.48460483348706,80.1673228754877,36482.3093772999,0.0379789944370515
"...59",240.654004002069,292.516704819836,0,5.67086531478391,0,0,0,34064.5405873377,0
"...60",720.204000198636,875.413238228764,0,16.9711694647722,0,0,0,101944.775436682,0
"...61",209.087236919864,254.147068183238,0,4.92701363739899,0,0,0,29596.2691245717,0
"...62",403.490815746534,490.44604238635,0,9.50801579778084,0,0,0,57114.068501007,0
"...63",125.380317879626,152.400694879344,0,2.95451097424516,0,0,0,17747.5664490797,0
"...64",0,2116.68914547271,0,0.0628702790921334,0,7.06593690600878,59.7238635986028,27171.3183461177,0.0282939756750204
"...65",0,2059.35128834019,0,0.0611672198176164,0,6.87453153045294,58.1060358860436,26435.2890747605,0.0275275353413345
"...66",0.123771834151558,3122.76106308187,0,0.0936426444170525,0,10.4266036344671,88.1618225010091,40085.5727441243,0.0417448473285222
"...67",248.511967930656,106.718931973886,0,1.78980625511022,0,4.76338377803727,105.282841688679,574.786159714632,0.00668126684882155
"...68",167.296597912688,71.8424726212325,0,1.2048856234012,0,3.20667816223839,70.8757062276006,386.942205835289,0.00449778424299696
"...69",109.51529686811,47.029346771054,0,0.788739331135516,0,2.09914795207793,46.3964844778472,253.299176860544,0.00294432871179842
"...70",83.5417250979669,35.8754701109558,0,0.601675256882445,0,1.60129631355197,35.3927027785747,193.224607027356,0.00224602687362791
"...71",22.0379636041916,213.355534477401,54.2138126552734,0.335654499454888,0,4.09992392227039,45.3401627350958,2.16067354280957,0.0220474467781273
"...72",6667.19597624947,37979.998154678,7725.26829452145,100.488624542713,0,8.27232737066873,31122.9114661719,240964.317322373,15.217353468873
"...73",1746.49946171123,30345.8461857214,310.061565739033,1.69031379865607,0,8.01231804652334,3952.38379137622,1.52362052623201,0.0283288492603307
"...74",342.798119702428,2272.5622783041,1153.64286552973,7.16041772795468,0,88.4460925656348,677.296646165592,46.8215041186091,0.476770080632543
