"","FIPS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"288",10001,1989930.00093752,45200.71296,772357.326182774,1129.91437844801,289344.082770153,8270.13498621976,0,0,2506.40828998171,72294.826435,93467.61908946,5804363.40949605,11952.36,8985.816,0,0,20097.4517987225,10433.1033927794,941878.668412577
"289",10003,742809.099871426,29931.7824,267777.395509802,0,74979.8297289766,0,0,0,0,67683.47989,129453.86003088,1901873.17046222,7677.18,6368.544,0,0,7502.0578981598,3894.5109307387,351588.269708998
"290",10005,4022360.78815838,63953.71008,912321.493030855,1762.64523409486,258750.501490978,5472.48426475817,2675.0147792972,0,5120.46267018898,67103.911745,51256.79040741,7325237.23529784,4467.96,9221.688,0,0,40624.1435723863,21089.0362807469,1903873.91578632
"291",11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1160",24001,21909.2169100554,10951.9488,22290.8045962573,206.693458426609,9192.66007106529,0,0,3102.8035629908,1047.36736435684,62164.983205,178185.68539359,124250.876216405,7484.4,17948.952,0,0,221.27382902421,114.868927635519,10370.1256021484
"1161",24003,106247.323925119,2830.57560817333,40393.5612909314,227.074104459462,3113.7205939743,0,0,0,268.700273366716,28726.4211,94455.64888956,284356.072081404,2421.09,8979.012,0,0,1073.05305730469,557.049401333038,50289.2503423958
"1162",24005,661697.135361442,49003.76832,180366.023356445,787.573081153198,32580.0129798649,8806.34766625177,0,0,0,129067.30603,218387.52014877,1212262.2946631,3651.48,24709.86,0,0,6682.861345381,3469.24496071692,313196.150846023
"1163",24009,87934.148069293,0,67114.5304476033,0,899.246436285098,24629.2941198435,0,2964.58883274055,233.688540956345,8013.15957,52146.0172275,118716.107098422,578.34,5447.736,0,0,888.097722759965,461.034336951895,41621.2119282988
"1164",24011,1244557.81150968,21197.3172202207,657167.863101104,0,145991.698808611,67464.8999333214,0,0,3851.98441780125,66398.350525,50049.19842951,4025336.55983135,1752.03,5522.58,0,0,12569.5077795476,6525.15431178702,589077.230714115
"1165",24013,1123656.48103508,278268.10752,328186.279564847,539.498384380495,73605.0163450151,987.877302631579,5193.8304,0,897.050751879699,273606.56167,569643.09219321,2327884.53856545,11924.01,31160.052,0,0,11348.4554508376,5891.27468759329,531851.909168597
"1166",24015,560794.876416763,103444.52352,175225.062352224,0,64228.9116351982,2774.28422713171,1649.90441426788,12784.8625481482,1007.78760353161,129823.26448,173234.5582842,1524330.83683563,8425.62,14662.62,0,0,5663.79118483893,2940.21946753933,265436.840091443
"1167",24017,129818.299236403,882.53568,220539.242934307,405.58421929087,14926.0200167212,51783.0152387092,0,0,479.934032355229,29129.59894,92556.43605159,669585.664167261,2052.54,8915.508,0,0,1311.10994369981,680.630845090064,61445.9236067411
"1168",24019,904446.101187918,0,561562.88992811,0,17782.6902041385,69487.3784650605,0,0,1790.67653141666,3855.388095,13568.94258804,3969814.96510014,867.51,2429.028,0,0,9134.52328202646,4741.96563821045,428094.701339484
"1169",24021,992742.720953172,693846.71616,511664.564812009,2195.64788325459,72219.1717689681,0,4253.56392631539,0,3462.61590225564,522946.857095,686263.54293168,3388497.45684601,25214.49,51079.896,0,0,10026.2818156866,5204.90039612144,469887.479281745
"1170",24023,231340.081518003,104241.99552,4086.43148802652,8405.44132062552,3065.03714902807,0,1289.69165941672,0,787.763979233323,371528.37956,363990.17835684,225970.280883186,9117.36,38587.752,0,0,2336.43702805131,1212.90446811407,109498.468703913
"1171",24025,621734.26985425,103012.11648,165840.060728745,0,69860.9480387375,0,0,0,955.491598159161,78670.07603,188252.61124572,1269494.6749106,7739.55,20743.128,0,0,6279.25329741389,3259.72165712743,294280.82692401
"1172",24027,167986.960793814,15378.80448,34893.3136816351,0,3860.91722984741,0,0,0,329.546084702247,81366.327835,116894.90346072,270513.529763606,1326.78,10773,0,0,1696.59729024487,880.747227176297,79512.0104067027
"1173",24029,1468353.0353927,183751.72608,684102.952557769,0,49197.891012332,5550.5001592681,0,25578.6270619736,2016.27691899973,119214.647565,37435.3513149,3945994.45151312,2783.97,7625.016,0,0,14829.7449349523,7698.50146896431,695004.548443247
