"Year","NANI_Mean","NANI_SD","NANI_Q025","NANI_Q975","NANI_CV_pct"
1997,738362890.821735,28916295.5063555,683668512.981257,795369593.236161,3.91627150630147
2002,757894405.213359,26625156.0090876,714466105.69829,806424652.278409,3.51304295505285
2007,721859643.820979,27262140.5329067,679076578.109247,786186196.647003,3.77665391967357
2012,685463044.044053,27886967.8910751,637816932.060122,746468490.792017,4.06834009993439
2017,650276312.214729,34274099.8089742,591824236.396408,729183388.687889,5.27069788106575
2022,639854743.434484,28938891.9950916,596937244.107614,697603612.479304,4.52272836796665
