"","FIPS","LRS","AtmDep2019"
"1",10001,"N10001EL2_4400_4590",13027.8756808508
"2",10001,"N10001EL0_4560_4562",48821.6102195694
"3",10005,"N10005EL0_4560_4562",14230.4746355607
"4",10005,"N10005EL0_4561_4562",82825.4130418886
"5",10005,"N10005EL0_4562_0001",19337.1083165955
"6",10001,"N10001EL2_4590_0001",30891.2542323584
"7",10005,"N10005EL2_4590_0001",12024.4674034011
"8",24011,"N24011EL2_4590_0001",5690.45631197362
"9",10005,"N10005EL0_4591_0000",9402.32746997193
"10",24011,"N24011EL0_4591_0000",8728.61911024936
"11",24019,"N24019EL0_4591_0000",344.757527429157
"12",24019,"N24019EL0_4592_0000",2306.27840215287
"13",24045,"N24045EL0_4593_0000",12666.2670332724
"14",24019,"N24019EL0_4593_0000",34314.1589416147
"15",24045,"N24045EL0_4594_0000",33633.5648955348
"16",10005,"N10005EL0_4594_0000",9945.73069257669
"17",24045,"N24045EL0_4595_0000",1324.02124056079
"18",24045,"N24045EL0_4596_0000",11463.5230588552
"19",24045,"N24045EL2_4630_0000",2048.15547369008
"20",10005,"N10005EL2_4630_0000",41481.5433903947
"21",24011,"N24011EL2_4630_0000",67836.4123803988
"22",24019,"N24019EL2_4630_0000",138420.726718358
"23",10005,"N10005EL0_4631_0000",2465.27296974893
"24",10005,"N10005EL0_4632_0000",37908.7277039223
"25",24045,"N24045EL0_4633_0000",91737.9407991476
"26",10005,"N10005EL0_4633_0000",36992.8894384784
"27",24045,"N24045EL0_5040_0000",2718.18257545871
"28",24045,"N24045EL2_5110_5270",1486.50955188852
"29",24047,"N24047EL2_5110_5270",8928.59742981921
"30",10005,"N10005EL2_5110_5270",16223.3002021646
"31",24019,"N24019EL1_5150_0001",371.9864718272
"32",24019,"N24019EL0_5151_0000",23358.1653057884
"33",24045,"N24045EL2_5272_5270",4050.2045351256
"34",24047,"N24047EL2_5270_0001",2044.11505081239
"35",24047,"N24047EL0_5271_0000",336.066023830426
"36",24019,"N24019EL0_5280_0000",319.310503893657
