year,Nsource,crop,values
2022,Synthetic Fertilizer,wheat,8568493.115016067
2022,Synthetic Fertilizer,oats,843424.301343114
2022,Synthetic Fertilizer,barley,1058925.7338121196
2022,Synthetic Fertilizer,sorghum for grain,285250.4400688984
2022,Synthetic Fertilizer,sorghum for silage,219423.00896735815
2022,Synthetic Fertilizer,potatoes,722306.3861375492
2022,Synthetic Fertilizer,rye,438556.3247355631
2022,Synthetic Fertilizer,alfalfa hay,0
2022,Synthetic Fertilizer,other hay,8008335.755019413
2022,Synthetic Fertilizer,soybeans,0
2022,Synthetic Fertilizer,cropland pasture,0
2022,Synthetic Fertilizer,noncropland pasture,0
2022,Synthetic Fertilizer,rice,0
2022,Synthetic Fertilizer,peanuts,298787.7514117876
2022,Synthetic Fertilizer,grass,0
2022,Synthetic Fertilizer,winter rye,0
2022,Synthetic Fertilizer,CGF,184784.1705850053
2022,Synthetic Fertilizer,CGM,33597.12192454635
2022,Synthetic Fertilizer,DGS,0
1997,Manure,corn for grain,43798401.19028738
1997,Manure,corn for silage,25081064.39255009
1997,Manure,wheat,5450714.518054877
1997,Manure,oats,848754.7045447326
1997,Manure,barley,1994830.4471269154
1997,Manure,sorghum for grain,451507.79440704855
1997,Manure,sorghum for silage,272165.18746854796
1997,Manure,potatoes,552006.7869946903
1997,Manure,rye,158122.48572273963
1997,Manure,alfalfa hay,0
1997,Manure,other hay,9560220.58278641
1997,Manure,soybeans,0
1997,Manure,cropland pasture,0
1997,Manure,noncropland pasture,0
1997,Manure,rice,0
1997,Manure,peanuts,85811.55925967304
1997,Manure,grass,0
1997,Manure,winter rye,0
1997,Manure,CGF,341630.8830508363
1997,Manure,CGM,62114.706009242705
1997,Manure,DGS,0
2002,Manure,corn for grain,43072261.17016132
2002,Manure,corn for silage,29610961.03930692
2002,Manure,wheat,4629264.734858876
2002,Manure,oats,718867.5945019149
2002,Manure,barley,1848734.6944313948
2002,Manure,sorghum for grain,112029.50441206644
2002,Manure,sorghum for silage,399790.5691541546
2002,Manure,potatoes,499111.50912761834
2002,Manure,rye,325672.0741914055
2002,Manure,alfalfa hay,0
2002,Manure,other hay,10332927.660447322
2002,Manure,soybeans,0
2002,Manure,cropland pasture,0
2002,Manure,noncropland pasture,0
2002,Manure,rice,0
2002,Manure,peanuts,90504.71748663203
2002,Manure,grass,0
2002,Manure,winter rye,0
2002,Manure,CGF,373870.6506387666
2002,Manure,CGM,67976.48193432119
2002,Manure,DGS,0
2007,Manure,corn for grain,53165302.113839515
2007,Manure,corn for silage,24667963.967054866
2007,Manure,wheat,4644182.832252916
2007,Manure,oats,479492.1793596022
2007,Manure,barley,1572312.0212833225
2007,Manure,sorghum for grain,146409.752980406
2007,Manure,sorghum for silage,297186.2403027615
2007,Manure,potatoes,578379.3946461274
2007,Manure,rye,203914.46707766908
2007,Manure,alfalfa hay,0
2007,Manure,other hay,10246757.47044259
2007,Manure,soybeans,0
2007,Manure,cropland pasture,0
2007,Manure,noncropland pasture,0
2007,Manure,rice,0
2007,Manure,peanuts,27003.3837699942
2007,Manure,grass,0
2007,Manure,winter rye,0
2007,Manure,CGF,199539.71087462897
2007,Manure,CGM,36279.94743175076
2007,Manure,DGS,0
2012,Manure,corn for grain,56472880.74457547
2012,Manure,corn for silage,24206545.066616967
2012,Manure,wheat,6173922.868775655
2012,Manure,oats,481111.40559622034
2012,Manure,barley,2184376.992722879
2012,Manure,sorghum for grain,278696.37954136083
2012,Manure,sorghum for silage,714178.7041833468
2012,Manure,potatoes,594984.6683396755
2012,Manure,rye,238661.69271008542
2012,Manure,alfalfa hay,0
2012,Manure,other hay,10376066.00625425
2012,Manure,soybeans,0
2012,Manure,cropland pasture,0
2012,Manure,noncropland pasture,0
2012,Manure,rice,0
2012,Manure,peanuts,50211.17591867491
2012,Manure,grass,0
