"","V1","V2","V3","V4","V5"
"340",2.92922708599235,3.80045579990359,4.48331322546735,3.51392421317128,2.6785322322654
"341",0.616438963812938,0.664115541464206,0.657734960468035,0.521812332912159,0.478834507523943
"342",260.699382443856,338.238844202504,399.017910841431,312.740824111973,238.392662622048
"343",73.4793245340622,76.6349286106,73.0569391525855,58.1312319492208,55.4745472626549
"344",84.2819364990634,75.051905025803,67.5690769956199,65.5669779069984,62.4996090911116
"345",1166.27283901884,973.285876714205,953.785840090848,956.332317764373,1018.05183325128
"346",19.7702904213703,21.5150844692239,14.7442476093226,12.5251155270307,5.64336975927617
"347",16.68746975026,20.978504465933,14.6046328718043,18.6860756688353,17.7076931727875
"348",352.764731453996,347.82825167738,159.593241981834,274.11994473062,316.661736606384
"349",1165.32341892013,972.47988239456,953.011921767476,955.55920828017,1017.24586896509
"350",1149.67823778915,959.467614976913,940.230686001199,942.74081201557,1003.60710637512
"351",19.3314316279733,23.562284382062,15.7525241692078,20.7359488307451,20.127994050414
"352",348.79442010122,343.967521396306,157.881135711067,271.103345606333,313.131062026492
"353",17.4242736362524,21.7998672261485,14.8650212552131,19.1487501140121,18.3380451965154
"354",29.3904916823842,35.8936131983237,18.278543333109,24.5416480455589,26.4644333439523
"355",337.017222969341,332.595991245423,152.743553456147,262.031823897616,302.574291942957
"356",23.0714124097251,27.1936854558794,17.3624792555935,23.5595243175929,23.4228172115761
"357",346.190023001744,341.429073102652,156.754097607888,269.10626101521,310.784811063816
"358",16.8374596274818,21.1835016571236,14.6424776896578,18.7692916855063,17.8615690653304
"359",25.5189323448098,32.1542887425651,16.5877451458906,21.5517025376731,22.9813968548661
"360",25.4127090576504,32.0169616949731,16.54486251061,21.4564270552126,22.8304599374262
"361",14.295632079032,17.5401608455229,12.841506146496,11.3182062298969,5.37609053676522
"362",0.56785294337943,0.709551274760141,0.413822318462026,0.470062563644449,0.416934289379886
"363",1.38649690689412,1.75328324652482,2.0260829997199,1.59011181170087,1.23934106018396
"364",262.021563166419,339.954279334088,401.041597221991,314.326941750316,239.601711066907
"365",67.618107291475,69.5645334190813,65.2322269103265,51.9703560888571,50.4704377412198
"366",18.2628804686484,19.7460186082594,15.0965579011215,18.3987939549546,17.0752067124794
"367",12.5907729530925,15.03434257959,10.4586360729976,13.7642462627451,12.1293312661982
"368",1069.0354017437,892.514369063502,874.280595773381,876.898558826095,933.290805439643
"369",1167.82985346632,974.578941766686,955.062721442848,957.619757074938,1019.43717432538
"370",3.07273406900321,3.82019053732875,2.92585437974649,1.42101954034022,1.10885367156773
"371",7.32124646881454,4.02914390711731,2.35357981311584,4.60411337046735,4.90293342130711
"372",618.483914643068,339.279601292627,197.829588033804,389.208859017672,414.677449414284
"373",2.9867718890206,3.71331766803283,2.84400127591566,1.3812653882586,1.07783260799727
"374",0.006968975174164,0.00866420992424404,0.00663585135510504,0.00322287893330303,0.00251488528958282
"375",653.962485779371,705.146215516999,1202.10609828214,845.637283009225,757.841509385194
"376",302.362186818831,263.937116577246,671.344780285531,608.277799571538,691.723044204949
"377",28.284495985885,33.5363455233202,33.6637451435877,18.2659438301317,19.7710123424148
"378",0.950611733826888,1.12712079366909,1.13140255898574,0.613898884498813,0.664482631464066
"379",27.9010739737783,33.0817299245245,33.2074025273204,18.0183323846291,19.5029983273339
"380",0.270930577435105,0.321236816884791,0.322457148076172,0.174965207503235,0.189381907073054
"381",578.79999284694,624.4279663833,1063.33477946332,747.300487625706,668.942193706846
"382",301.560905850754,262.942511406328,670.114933607686,607.698756405294,691.512496116429
"383",656.082961736298,707.800739407175,1205.31894723461,847.091095582276,758.275317678397
"384",301.827637087966,263.256712936378,670.555745812112,607.95059594947,691.6753993134
"385",2398.19636893187,2534.9158274339,3087.54988020658,3989.5220770659,3737.27793035758
"386",2049.65179442782,2166.50097620551,2638.81733553347,3409.70038571511,3194.11642660632
"387",450.132129870502,398.844152788011,352.182205956896,373.212976523212,274.57075888337
"388",2236.37871226709,2363.87306198242,2879.21828029128,3720.33014512635,3485.10610455134
"389",2294.6305907541,2425.44583836863,2954.21446608088,3817.23511849095,3575.88410033669
"390",0,0,0,0,0
