Species,State,"Total Corn-
Related","Total Corn-
Related","Total Corn-
Related","Total Corn-
Related","Total Small
Grains","Total Small
Grains",Total Processed Plant Byproducts,"Total Soy-
Related",Total Processed Plant Byproducts,Total Processed Plant Byproducts,Total Processed Plant Byproducts,Total Processed Plant Byproducts,"Total Soy-
Related","Total Soy-
Related","Total Soy-
Related",Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Processed Plant Byproducts,"Total
Forages","Total
Forages","Total
Forages"
Species,"State
(All Numbers are in Short Tons)",Corn,Corn DDGs,Corn Gluten Feed/Meal,Hominy Feed,Wheat,Oats,Cottonseed,Soybean Meal,Canola Meal,Cottonseed Meal,Wheat Middlings and Wheat Bran,Rice Mill Feed,Soy Hulls,Soybean Oil,Soybean Seeds,Meat and Bone Meal,Feather Meal,Meat Meal,Bloodmeal,Miscellaneous Byproduct Feeds,Corn Silage,Alfalfa Hay,Other Hay
Horses,Delaware,0.00,42745.11,18166.64,0.00,0.00,130372.55,0.00,10686.30,17098.03,0.00,192352.92,16029.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Horses,Maryland,0.00,7133.86,3031.89,0.00,0.00,21758.27,0.00,1783.47,2853.54,0.00,32102.36,2675.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Horses,New York,0.00,23598.78,10029.46,0.00,0.00,71976.25,0.00,5899.71,9439.51,0.00,106194.45,8849.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Horses,Pennsylvania,0.00,21996.12,9348.34,0.00,0.00,67088.15,0.00,5499.04,8798.44,0.00,98982.49,8248.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Horses,Virginia,0.00,21279.11,9043.61,0.00,0.00,64901.28,0.00,5319.79,8511.64,0.00,95755.97,7979.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Horses,West Virginia,0.00,6980.55,2966.73,0.00,0.00,21290.68,0.00,1745.14,2792.22,0.00,31412.48,2617.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Layers,Delaware,2620.76,533.17,0.00,0.00,0.00,0.00,0.00,966.19,0.00,0.00,249.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.39,0.00,0.00,0.00
Layers,Maryland,68890.48,14015.11,0.00,0.00,0.00,0.00,0.00,25397.72,0.00,0.00,6569.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2349.86,0.00,0.00,0.00
Layers,New York,137915.43,28413.53,0.00,0.00,0.00,0.00,0.00,69744.25,0.00,0.00,0.00,0.00,0.00,2663.55,0.00,0.00,0.00,0.00,0.00,1849.15,0.00,0.00,0.00
Layers,Pennsylvania,741440.09,152918.04,0.00,0.00,0.00,0.00,0.00,319912.48,0.00,0.00,43004.70,0.00,0.00,14334.90,0.00,0.00,0.00,0.00,0.00,12873.75,0.00,0.00,0.00
